排名,电影标题,评分,评价人数,精华短评
1,肖申克的救赎,9.7,3228540,希望让人自由。
2,霸王别姬,9.6,2383013,风华绝代。
3,泰坦尼克号,9.5,2452261,失去的才是永恒的。 
4,阿甘正传,9.5,2392992,一部美国近现代史。
5,千与千寻,9.4,2492838,最好的宫崎骏，最好的久石让。 
6,美丽人生,9.5,1458821,最美的谎言。
7,星际穿越,9.4,2132395,爱是一种力量，让我们超越时空感知它的存在。
8,这个杀手不太冷,9.4,2517324,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,9.4,2287844,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,9.4,1976248,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,9.5,1229591,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,9.4,1521661,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1851975,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,疯狂动物城,9.3,2224544,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
15,三傻大闹宝莱坞,9.2,2045995,英俊版憨豆，高情商版谢耳朵。
16,机器人总动员,9.3,1462867,小瓦力，大人生。
17,放牛班的春天,9.3,1450556,天籁一般的童声，是最接近上帝的存在。 
18,无间道,9.3,1536422,香港电影史上永不过时的杰作。
19,控方证人,9.6,690142,比利·怀德满分作品。
20,大话西游之大圣娶亲,9.2,1684689,一生所爱。
21,熔炉,9.3,1022260,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,寻梦环游记,9.1,1937805,死亡不是真的逝去，遗忘才是永恒的消亡。
23,触不可及,9.3,1271383,满满温情的高雅喜剧。
24,教父,9.3,1085978,千万不要记恨你的对手，这样会让你失去理智。
25,当幸福来敲门,9.1,1663411,平民励志片。 
